Transcript/RepeatID	chr	start	end	strand	Length	Copies	Annotation/Divergence	B_53A_GSM1153526.CvsH	FPKM	B_CL7B-P12_GSM1153525.CvsH	FPKM	B_PR01086_iPSC-1_A_GSM1153521.CvsH	FPKM	B_PR01086_iPSC-1_B_GSM1153523.CvsH	FPKM	C_PR00818_iPSC-2_A_GSM1153514.CvsH	FPKM	C_PR00818_iPSC-2_B_GSM1153516.CvsH	FPKM	C_PR01209_iPSC-1_A_GSM1153517.CvsH	FPKM	C_PR01209_iPSC-1_B_GSM1153519.CvsH	FPKM	H_ADRC-40_iPSC-2_A_GSM1153507.CvsH	FPKM	H_ADRC-40_iPSC-2_B_GSM1153501.CvsH	FPKM	H_ESC_H1_GSM1153529.CvsH	FPKM	H_ESC_HUES-6_GSM1153528.CvsH	FPKM	H_GM22159_WT-9_iPSC_GSM1153512.CvsH	FPKM	H_WT-126_iPSC_GSM1153513.CvsH	FPKM	H_WT-33_iPSC-1_A_GSM1153510.CvsH	FPKM	H_WT-33_iPSC-1_B_GSM1153509.CvsH	FPKM	c1.CvsH.hg19	FPKM	c2.CvsH.hg19	FPKM	h1.CvsH.hg19	FPKM	h2.CvsH.hg19	FPKM
Merged-chr10-105280950-4	chr10	105279181	105282806	-	3625	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr8-128447612-8	chr8	128443170	128450484	+	7314	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.269	0.044	0.35	0.041	0.527	0.986	0.505	0.45	0.453	0.12	0.457	0.228	0.243	0.369	0.218	0.177	0.554	0.485	0.419	0.251																				
Merged-chr1-225029999-7	chr1	225026833	225034585	-	7752	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.058	0.009	0.005	0.013	0.114	0.05	0.021	0.055	0.027	0.012	0.047	0.023	0.008	0.022	0.008	0.01	0.033	0.001	0.035	0.004																				
Merged-chr10-110359633-4	chr10	110358014	110361434	+	3420	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.002	0	0	0	0	0.007	0	0.01	0	0.005	0	0	0	0	0	0	0	0	0																				
Merged-chr5-121811635-8	chr5	121809128	121815484	-	6356	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	3.53	0.864	3.775	1.045	4.016	7.135	4.986	2.669	0.691	0.29	2.879	1.55	0.618	0.905	0.605	0.502	1.73	2.489	0.952	0.633																				
Merged-chr3-76584849-4	chr3	76581960	76588063	-	6103	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0.005	0	0																				
Merged-chr5-706486-8	chr5	701800	709403	+	7603	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.836	0.218	0.957	0.066	1.058	2.21	1.526	1.04	0.014	0.006	0.021	0.026	0.008	0.047	0.011	0.015	0.635	0.969	0.031	0.026																				
Merged-chr7-34341876-9	chr7	34338963	34345964	-	7001	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.083	0.055	0.152	0.062	0.142	0.207	0.102	0.082	0.074	0.02	0.028	0.144	0.117	0.013	0.072	0.098	0.089	0.049	0.04	0.028																				
Merged-chr12-103618497-8	chr12	103615119	103623108	-	7989	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.471	0.107	0.635	0.141	0.409	0.859	0.574	0.513	0.106	0.04	0.172	0.048	0.044	0.056	0.068	0.067	0.511	0.43	0.198	0.133																				
Merged-chr15-101616389-8	chr15	101611910	101619271	+	7361	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.487	0.129	0.246	0.095	0.539	0.562	0.302	0.265	0.413	0.307	0.798	0.257	0.992	1.116	0.425	0.516	0.653	0.262	0.82	0.488																				
